m,k,d,orig,comp
1,1,1000,0.49999999999999994,0.49999992337696253
1,1,1000,0.5,0.49999999005382706
1,1,1000,0.5,0.5000000209225449
1,1,1000,0.5,0.49999995303527933
1,1,1000,0.5,0.5000000242403885
1,1,2000,0.5,0.5000000050220328
1,1,2000,0.5,0.4999999970086847
1,1,2000,0.5,0.5000000079516728
1,1,2000,0.5,0.49999999902280756
1,1,2000,0.5,0.4999999965520997
1,1,4000,0.5,0.49999999915675913
1,1,4000,0.5,0.49999999979347837
1,1,4000,0.5,0.5000000000773912
1,1,4000,0.5000000000000001,0.5000000014053647
1,1,4000,0.5,0.49999999928278127
1,1,8000,0.5,0.5000000008141835
1,1,8000,0.5,0.4999999999934745
1,1,8000,0.5,0.5000000001554685
1,1,8000,0.5,0.49999999995844346
1,1,8000,0.5,0.5000000005950351
1,1,16000,0.5,0.5000000000426285
1,1,16000,0.5,0.500000000048508
1,1,16000,0.5,0.49999999996609346
1,1,16000,0.5,0.5000000000822847
1,1,16000,0.5,0.4999999998005604
1,1,32000,0.5000000000000001,0.5000000000068112
1,1,32000,0.5,0.4999999999899449
1,1,32000,0.5,0.49999999998767086
1,1,32000,0.5,0.4999999999879413
1,1,32000,0.5,0.5000000000123889
1,1,64000,0.5,0.49999999999894595
1,1,64000,0.5,0.5000000000012201
1,1,64000,0.5,0.5000000000005723
1,1,64000,0.5,0.5000000000027081
1,1,64000,0.5000000000000001,0.5000000000032958
1,2,1000,0.49999999999999994,0.499999999334373
1,2,1000,0.5,0.49999999990620236
1,2,1000,0.5,0.5000000001636604
1,2,1000,0.5,0.49999999962066216
1,2,1000,0.5,0.5000000001815077
1,2,2000,0.5,0.49999999996972827
1,2,2000,0.5,0.5000000000131376
1,2,2000,0.5,0.4999999999099545
1,2,2000,0.5,0.49999999998548156
1,2,2000,0.5,0.500000000064988
1,2,4000,0.5,0.4999999999882057
1,2,4000,0.5,0.5000000000003487
1,2,4000,0.5,0.49999999999994715
1,2,4000,0.5000000000000001,0.500000000004722
1,2,4000,0.5,0.500000000000674
1,2,8000,0.5,0.5000000000019705
1,2,8000,0.5,0.499999999999896
1,2,8000,0.5,0.499999999998927
1,2,8000,0.5,0.5000000000002682
1,2,8000,0.5,0.5000000000031939
1,2,16000,0.5,0.49999999999944317
1,2,16000,0.5,0.4999999999993939
1,2,16000,0.5,0.49999999999964123
1,2,16000,0.5,0.5000000000003783
1,2,16000,0.5,0.49999999999942357
1,2,32000,0.5000000000000001,0.49999999999995864
1,2,32000,0.5,0.5000000000000767
1,2,32000,0.5,0.5000000000000306
1,2,32000,0.5,0.5000000000000309
1,2,32000,0.5,0.5000000000000451
1,2,64000,0.5,0.5000000000000077
1,2,64000,0.5,0.49999999999999595
1,2,64000,0.5,0.49999999999998435
1,2,64000,0.5,0.500000000000016
1,2,64000,0.5000000000000001,0.4999999999999922
1,3,1000,0.49999999999999994,0.49999999999371214
1,3,1000,0.5,0.49999999999937583
1,3,1000,0.5,0.5000000000022162
1,3,1000,0.5,0.4999999999953659
1,3,1000,0.5,0.5000000000027676
1,3,2000,0.5,0.5000000000001711
1,3,2000,0.5,0.500000000000091
1,3,2000,0.5,0.5000000000001846
1,3,2000,0.5,0.4999999999999666
1,3,2000,0.5,0.4999999999998608
1,3,4000,0.5,0.49999999999998584
1,3,4000,0.5,0.4999999999999987
1,3,4000,0.5,0.5000000000000004
1,3,4000,0.5000000000000001,0.5000000000000039
1,3,4000,0.5,0.5000000000000044
1,3,8000,0.5,0.4999999999999997
1,3,8000,0.5,0.49999999999999994
1,3,8000,0.5,0.49999999999999983
